   n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, heapSort_cmp, heapSort_swaps, heapSort_time, quick_cmp, quick_swaps, quick_time
   0,             1,               0,              3,             1,               0,              8,            6,              0,            13,         1,           0,         10
   1,             1,               0,              0,             4,               0,              3,            6,              0,             1,         1,           0,          0
   2,             4,               0,              4,             9,               0,              2,           18,              3,             7,        10,           2,          7
   3,            10,               2,              2,            16,               2,              3,           27,              6,             4,        22,           4,          3
   4,            13,               2,              2,            25,               2,              2,           48,             13,             7,        36,           6,          7
   5,            16,               2,              2,            36,               2,              4,           60,             17,             7,        51,           8,          6
   6,            19,               2,              2,            49,               2,              3,           75,             21,             8,        51,           8,          5
   7,            22,               2,              2,            64,               2,              4,           90,             27,            13,        64,          10,          7
   8,            25,               2,              2,            81,               2,              3,          119,             39,             8,        80,          12,          9
   9,            28,               2,              2,           100,               2,              3,          140,             48,             9,        96,          14,          9
  10,            31,               2,              2,           121,               2,              4,          163,             54,            11,       113,          16,         19
  11,            34,               2,              2,           144,               2,              4,          184,             64,            18,       131,          18,         11
  12,            39,               3,              2,           169,               3,              5,          210,             74,             9,       149,          20,         11
  13,            42,               3,              9,           196,               3,              4,          231,             83,            10,       166,          21,         11
  14,            45,               3,              1,           225,               3,              5,          257,             94,            10,       184,          23,         35
  15,            48,               3,              1,           256,               3,              6,          277,            106,            18,       205,          25,         13
  16,            51,               3,              1,           289,               3,              6,          307,            118,            12,       226,          27,         10
  17,            56,               4,              3,           324,               4,              8,          334,            128,             5,       247,          29,         18
  18,            59,               4,              2,           361,               4,              8,          365,            139,             7,       267,          30,         28
  19,            62,               4,              3,           400,               4,             13,          394,            154,             8,       289,          32,         16
  20,            67,               5,              3,           441,               5,             27,          428,            168,             9,       338,          36,         18
  21,            72,               6,              3,           484,               6,             16,          454,            180,             8,       361,          38,         20
  22,            75,               6,              2,           529,               6,             11,          479,            187,            10,       383,          39,         12
  23,            78,               6,              2,           576,               6,             13,          508,            203,             5,       408,          40,         13
  24,            81,               6,              3,           625,               6,             17,          536,            212,            12,       398,          40,         19
  25,            84,               6,              4,           676,               6,             20,          565,            226,            10,       425,          42,         24
  26,            89,               7,              2,           729,               7,             15,          593,            237,            18,       451,          44,         16
  27,            94,               8,              2,           784,               8,             14,          619,            249,             6,       478,          46,         14
  28,           101,              10,              3,           841,               8,             23,          650,            262,            11,       504,          47,         23
  29,           104,              10,              4,           900,               8,             27,          679,            278,            10,       527,          48,         24
  30,           107,              10,              4,           961,               8,             27,          713,            294,            12,       589,          52,         29
  31,           112,              11,              4,          1024,               9,             31,          739,            303,            19,       614,          54,         30
  32,           115,              11,              4,          1089,               9,             31,          772,            314,            13,       646,          55,         28
  33,           118,              11,              3,          1156,               9,             21,          804,            326,             9,       675,          56,         20
  34,           121,              11,              3,          1225,               9,             22,          850,            348,             8,       654,          56,         19
  35,           126,              12,              3,          1296,              10,             24,          872,            354,             8,       683,          58,         19
  36,           129,              12,              3,          1369,              10,             25,          919,            373,             8,       790,          61,        106
  37,           132,              12,              6,          1444,              10,             25,          944,            383,             8,       820,          63,         23
  38,           135,              12,              3,          1521,              10,             28,          975,            395,            10,       819,          63,          7
  39,           138,              12,              3,          1600,              10,             29,         1013,            415,             9,       855,          65,          7
  40,           143,              13,              3,          1681,              11,             30,         1037,            420,            15,       899,          67,         15
  41,           146,              13,              7,          1764,              11,             49,         1074,            439,            23,       971,          71,         18
