  n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, heapSort_cmp, heapSort_swaps, heapSort_time, quick_cmp, quick_swaps, quick_time
  0,             1,               0,              3,             1,               0,              8,            6,              0,            15,         1,           0,          9
  1,             1,               0,              0,             4,               0,              3,            6,              0,             1,         1,           0,          0
  2,             5,               1,              8,             9,               1,              4,           15,              1,             4,        11,           2,          8
  3,             8,               1,              1,            16,               1,              2,           24,              4,             7,        22,           4,          4
  4,            13,               2,              2,            25,               2,              2,           41,             10,             6,        35,           6,          5
  5,            16,               2,              2,            36,               2,              4,           59,             18,             7,        44,           7,          5
  6,            27,               6,              3,            49,               4,              4,           74,             21,             9,        52,           8,          8
  7,            34,               8,              4,            64,               4,              5,           85,             24,            15,        66,          10,          8
  8,            50,              15,              6,            81,               5,              7,          113,             36,            13,        89,          11,         11
  9,            63,              20,              6,           100,               6,              4,          123,             37,             9,       110,          15,         11
 10,            80,              27,              8,           121,               7,              5,          141,             42,            11,       106,          15,         12
 11,            93,              32,              9,           144,               8,              5,          166,             53,            18,       129,          18,         18
 12,           102,              35,              3,           169,               9,              5,          191,             63,            10,       151,          19,         17
 13,           125,              45,              3,           196,               9,              6,          203,             66,            11,       177,          22,         13
 14,           134,              48,              4,           225,              10,              6,          222,             71,            12,       211,          26,         10
 15,           151,              55,              4,           256,              11,              6,          245,             84,            18,       211,          26,         13
 16,           158,              57,              4,           289,              13,              7,          292,            103,            24,       223,          28,          9
 17,           185,              69,              5,           324,              11,              9,          309,            107,            11,       247,          32,         10
 18,           204,              77,              7,           361,              11,              9,          341,            121,             4,       243,          30,         11
 19,           211,              79,             18,           400,              11,             15,          361,            131,             6,       292,          36,         19
 20,           251,              98,             10,           441,              16,             16,          397,            145,             5,       298,          37,         19
 21,           290,             116,             12,           484,              16,             16,          412,            148,             7,       315,          37,         21
 22,           333,             136,             18,           529,              18,             23,          426,            155,             8,       330,          36,         19
 23,           362,             149,             16,           576,              21,             21,          452,            163,             9,       357,          43,         23
 24,           391,             162,             10,           625,              22,             12,          486,            180,            13,       407,          46,         15
 25,           424,             177,             11,           676,              21,             13,          511,            188,             8,       438,          50,         23
 26,           451,             189,             19,           729,              23,             25,          550,            207,            10,       428,          53,         17
 27,           500,             212,             23,           784,              24,             22,          560,            206,            10,       495,          55,        100
 28,           513,             217,             13,           841,              23,             16,          589,            217,             7,       492,          55,         23
 29,           528,             223,             34,           900,              25,             18,          603,            222,             6,       528,          59,         15
 30,           543,             229,             13,           961,              27,             18,          634,            235,             6,       556,          60,         16
 31,           570,             241,             16,          1024,              27,             20,          661,            248,             6,       580,          63,         18
 32,           595,             252,             15,          1089,              26,             20,          708,            264,             7,       559,          66,         17
 33,           622,             264,             15,          1156,              26,             22,          736,            278,             6,       577,          66,         17
 34,           679,             291,             18,          1225,              31,             23,          778,            296,             7,       586,          70,         18
 35,           696,             298,             17,          1296,              32,             25,          805,            304,             8,       620,          71,         19
 36,           753,             325,             19,          1369,              31,             26,          832,            313,             7,       663,          73,         19
 37,           812,             353,             46,          1444,              31,             27,          853,            323,            13,       700,          68,         20
 38,           871,             381,             20,          1521,              33,             29,          871,            328,             8,       742,          75,         25
 39,           880,             384,             20,          1600,              34,             30,          912,            349,             8,       776,          75,         22
 40,           960,             423,             24,          1681,              37,             32,          945,            358,             8,       786,          82,         29
 41,          1017,             450,             23,          1764,              40,             33,          970,            366,             9,       795,          82,         20
 42,          1062,             471,             25,          1849,              37,             33,         1000,            386,             9,       835,          85,         22
 43,          1123,             500,             26,          1936,              36,             36,         1049,            407,             9,       879,          84,         22
 44,          1136,             505,             27,          2025,              39,             37,         1093,            424,             9,       829,          92,         23
 45,          1165,             518,             26,          2116,              42,             39,         1131,            445,            10,       835,          93,         21
 46,          1210,             539,             29,          2209,              43,             40,         1147,            451,            10,       882,          96,         25
 47,          1271,             568,             31,          2304,              44,             42,         1173,            456,             9,       909,         101,         24
 48,          1322,             592,             30,          2401,              40,             44,         1222,            478,            10,       963,         103,         25
 49,          1407,             633,             33,          2500,              41,             46,         1249,            489,            10,       939,         104,          9
