 n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, heapSort_cmp, heapSort_swaps, heapSort_time, quick_cmp, quick_swaps, quick_time
 0,             1,               0,              6,             1,               0,              7,            6,              0,            14,         1,           0,          8
 1,             1,               0,              1,             4,               0,              3,            6,              0,             2,         1,           0,          1
 2,             4,               0,             10,             9,               0,              8,           18,              3,             8,        10,           2,          8
 3,             7,               0,              1,            16,               0,              2,           27,              7,             5,        13,           2,          3
 4,            12,               1,              3,            25,               1,              3,           44,             12,             5,        34,           6,          4
 5,            22,               5,              2,            36,               3,              4,           55,             15,             6,        51,           8,          6
 6,            33,               9,              3,            49,               5,              4,           78,             23,            11,        54,           8,          6
 7,            38,              10,              3,            64,               6,              3,           93,             29,             7,        74,          11,          8
 8,            43,              11,              5,            81,               7,              3,          119,             38,             9,        92,          12,          9
 9,            50,              13,              6,           100,               7,              8,          139,             46,            13,       106,          14,         15
10,            53,              13,              6,           121,               7,             15,          162,             55,            25,       122,          15,        124
